RSI_Period,RSI_OB,RSI_OS,MACD_Fast,MACD_Slow,MACD_Signal,Profit,Success_Rate,Total_Trades
14,65,35,12,20,9,12091.160000000033,50.0,72
14,75,35,12,26,9,10481.230000000003,53.84615384615385,52
14,75,35,12,20,9,10305.870000000032,50.0,72
14,65,35,12,26,9,9742.05999999999,53.84615384615385,52
14,70,35,12,20,9,8906.590000000047,50.0,72
14,70,35,12,26,9,8903.790000000015,53.84615384615385,52
7,70,35,12,26,9,6996.110000000022,41.104294478527606,163
7,70,35,12,20,9,6493.020000000084,41.76470588235294,170
14,75,30,12,26,9,6371.659999999989,42.10526315789473,19
7,70,25,12,26,9,5818.789999999986,62.5,16
7,65,25,12,26,9,5806.049999999988,62.5,16
7,75,35,12,20,9,5661.740000000078,40.588235294117645,170
14,70,30,12,26,9,5258.990000000005,42.10526315789473,19
7,75,35,12,26,9,4572.0500000000175,39.87730061349693,163
14,75,30,12,20,9,4506.929999999971,41.66666666666667,24
14,65,30,12,26,9,4426.9499999999825,42.10526315789473,19
7,70,35,8,20,9,4380.789999999928,38.46153846153847,156
7,75,25,12,26,9,3920.869999999988,50.0,16
14,70,30,12,20,9,3560.649999999987,41.66666666666667,24
14,65,30,12,20,9,3490.1199999999735,41.66666666666667,24
7,70,35,12,26,5,3286.2399999999907,36.206896551724135,116
14,75,30,8,20,5,3202.8899999999776,37.142857142857146,35
7,65,25,12,20,9,3023.389999999992,58.82352941176471,17
7,70,25,12,20,9,2724.1800000000003,58.82352941176471,17
14,75,30,8,20,9,2671.7499999999927,36.0,25
14,75,30,12,20,5,2664.659999999967,33.33333333333333,27
7,70,30,12,20,9,2517.370000000017,47.27272727272727,55
7,65,35,12,26,9,2456.0300000000134,42.42424242424242,165
7,75,35,12,26,5,2315.480000000003,35.3448275862069,116
7,70,35,12,20,5,2009.799999999981,35.76642335766424,137
14,75,30,12,26,5,1930.3899999999776,30.434782608695656,23
14,70,30,12,20,5,1870.9199999999764,33.33333333333333,27
7,70,25,8,26,9,1823.239999999998,50.0,8
14,70,30,8,20,9,1726.1500000000015,36.0,25
7,65,35,12,20,9,1709.6200000000536,43.02325581395349,172
7,70,30,12,26,9,1595.469999999994,52.83018867924528,53
7,70,25,12,26,5,1410.1400000000067,37.5,8
7,65,25,8,26,9,1268.239999999998,50.0,8
14,70,30,12,26,5,984.7899999999863,30.434782608695656,23
7,65,25,12,26,5,855.1400000000067,37.5,8
7,75,30,12,20,9,840.5999999999985,43.63636363636363,55
14,75,30,8,26,9,821.5799999999654,25.0,20
7,65,30,12,20,9,676.849999999984,47.27272727272727,55
14,65,35,12,26,5,667.9299999999857,39.726027397260275,73
7,65,30,12,26,9,661.3599999999715,52.83018867924528,53
14,65,30,12,20,5,621.2799999999625,33.33333333333333,27
14,65,30,8,20,9,476.5099999999875,36.0,25
14,70,30,8,20,5,405.87999999998283,37.142857142857146,35
14,65,30,8,20,5,405.87999999998283,37.142857142857146,35
14,65,35,8,26,9,312.0499999999811,38.23529411764706,68
7,75,25,8,26,9,303.1800000000003,37.5,8
7,75,25,12,20,9,249.09000000000378,47.05882352941176,17
7,75,35,8,20,9,160.61999999993714,37.17948717948718,156
7,75,30,12,26,9,-109.64000000002125,49.056603773584904,53
